Model,Avg_Accuracy,Avg_Precision,Avg_Recall,Avg_F1_Score
SVM,0.7763847338308737,0.7891903840463156,0.7763847338308737,0.7282171643920486
Logistic Regression,0.771913022473506,0.814861873095402,0.771913022473506,0.7138395808611281
Decision Tree,0.7724784820112445,0.7838595194197874,0.7724784820112445,0.721794769890696
Random Forest,0.891948768246404,0.9051187243254881,0.891948768246404,0.8961691309774024
Gradient Boosting,0.781267460413768,0.7972640509542014,0.781267460413768,0.7371182529553055
